식당명,식당주소,식당위도,식당경도
24시전주명가콩나물국밥,제주 서귀포시 중정로62번길 4,33.24735805,126.5628696
24시전주명가콩나물국밥 일도점,제주 제주시 고마로 133,33.503051,126.542718
513텐동,제주특별자치도 제주시 구남로8길 17,33.49026807,126.5370337
60빈스,제주 서귀포시 태평로120번길 29-2,33.24191732,126.536242
88버거,제주 서귀포시 동문로 63,33.24924639,126.5671201
BBQ치킨 제주협재해수욕장점,제주특별자치도 제주시 한림읍 한림로 330,33.39297338,126.240167
ODE Music Bar,제주특별자치도 제주시 한림읍 한림로 410,33.39824293,126.2458922
project064,제주특별자치도 제주시 구남동4길 31,33.48751516,126.5374261
가람,제주 서귀포시 대정읍 최남단해안로29번길 22,33.21930679,126.252753
가마리식당,제주특별자치도 서귀포시 표선면 세성로 58,33.31124304,126.8044184
가시아방국수,제주 서귀포시 성산읍 고성동서로 67,33.45078169,126.9142736
가회식당,제주특별자치도 서귀포시 남원읍 태위로679번길 7,33.27970017,126.7187598
갈치공장,제주특별자치도 제주시 구좌읍 해맞이해안로 1296,33.53190564,126.8509611
갈치관 애월해안도로점,제주 제주시 애월읍 애월해안로 686 2층,33.48194608,126.3752208
갈치옥 함덕,제주특별자치도 제주시 조천읍 조함해안로 530,33.54248885,126.6694995
갈치왕 성산점,제주특별자치도 서귀포시 성산읍 성산중앙로37번길 9,33.4636722,126.9323751
갈치요리 전문점 뜰에,제주 제주시 애월읍 애월로11길 23-1,33.46637854,126.3202162
갑순이네,제주 서귀포시 천제연로 170,33.25177385,126.4228481
강식당,제주 제주시 한림읍 협재1길 39,33.39846444,126.2439195
강실장회포차,제주 서귀포시 대청로25번길 6-17,33.25304179,126.5043039
강풍해장국,제주 서귀포시 안덕면 사계북로 1,33.23029409,126.2921514
갱이네보말칼국수,제주 제주시 도남로 88,33.49268825,126.5280332
거멍국수 제주산방산점,제주특별자치도 서귀포시 안덕면 사계로114번길 53-14,33.24437894,126.3044096
검은노루,제주 서귀포시 대정읍 상모로 257,33.2238682,126.2617264
검은여닭도가니,제주특별자치도 서귀포시 토평동,33.24385917,126.5820619
겸성식당,제주 서귀포시 이어도로 918,33.23741003,126.5127456
경동식당,제주  남제주군  안덕면 화순리  1077-1,33.24671456,126.3349116
경미네집,제주 서귀포시 성산읍 일출로 259,33.46130764,126.9334192
계절식탁 함덕점,제주특별자치도 제주시 조천읍 조함해안로 510,33.54255527,126.6673674
계절식탁시청점,제주특별자치도 제주시 신성로13길 13-1,33.49893317,126.5295816
고객식당,제주 제주시 오현길 78-6,33.51168522,126.5258281
고국수 공항본점,제주특별자치도 제주시 용문로14길 4,33.50642588,126.509252
고기왕 하귀애월점,제주특별자치도 제주시 애월읍 하귀12길 4,33.4855706,126.4104538
고기장,제주특별자치도 제주시 서해안로 446-1,33.5175173,126.4874511
고니식당,제주 제주시 신대로 119,33.48658783,126.4967615
고등어회결사,제주 제주시 애월읍 애월해안로 941,33.48381286,126.3955338
고미횟집,제주 서귀포시 서문로 46,33.24928048,126.5575909
고사리식당,제주 제주시 삼무로3길 39,33.49029495,126.4917048
고씨네천지국수 올레시장본점,제주특별자치도 서귀포시 중앙로79번길 4,33.25174533,126.5607512
고요새,제주 선사로8길 11,33.525749,126.586677
고은물식당 제주산방산점,제주특별자치도 서귀포시 안덕면 화순해안로 110,33.23878674,126.3370279
고집돌우럭 제주공항점,제주특별자치도 제주시 임항로 30,33.51625415,126.5280585
고집돌우럭 제주함덕점,제주특별자치도 제주시 조천읍 신북로 491-9,33.54381497,126.6630989
고집돌우럭 중문점,제주특별자치도 서귀포시 일주서로 879,33.25798111,126.4167048
고흥식당,무근성7길 15 1층,33.514346,126.520158
골막식당,제주특별자치도 제주시 천수로 12,33.50247172,126.5384001
곱들락 함덕흑돼지,제주특별자치도 제주시 조천읍 함덕18길 19,33.53950106,126.6702086
곽지식당,제주특별자치도 제주시 애월읍 곽지3길 27,33.44942272,126.3044206
곽지해녀의집,제주특별자치도 제주시 애월읍 곽지11길 27,33.45375534,126.3066017
광성식당,제주 서귀포시 안덕면 화순해안로106번길 12,33.23734773,126.3349422
광주식당,제주 서귀포시 성산읍 일주동로 4188,33.45486297,126.9108344
구락,제주 서귀포시 대정읍 상모대서로 47,33.22701309,126.2583924
구이사이,제주 제주시 애월읍 일주서로 6699,33.47186766,126.3679459
구좌 만물식당 월정리세화,제주 제주시 구좌읍 세평항로 46-6,33.52672837,126.8557475
국수마당 본점,제주특별자치도 제주시 삼성로 65,33.50807077,126.5321927
국수만찬,제주 제주시 은남3길 1,33.48713155,126.4955039
국수바다 서귀포본점,제주특별자치도 서귀포시 일주서로 580,33.2529938,126.4472034
국수앤 표선칼국수,제주특별자치도 서귀포시 표선면 표선당포로 19-3,33.32626458,126.8442343
국시트멍 제주고기국수,제주특별자치도 제주시 진군길 31-3,33.47937258,126.4813281
궁중오메기떡,제주 제주시 정존11길 31,33.48612866,126.4746802
그라나다,제주 제주시 1100로 3308,33.48161779,126.4817741
그랜마스 서귀포시청점,제주특별자치도 서귀포시 신서로48번길 52,33.25279152,126.5103742
그레이그로브,제주 서귀포시 안덕면 형제해안로 70,33.22599281,126.2999907
그리운바다성산포 성산본점,제주특별자치도 서귀포시 성산읍 성산등용로 94,33.46985504,126.9300434
그시절그짬뽕,제주특별자치도 제주시 한림읍 한림북동길 7,33.41589166,126.2636302
글라글라하와이,제주 서귀포시 대정읍 하모항구로 70,33.21952335,126.251483
금갈치 동문시장점,제주특별자치도 제주시 고마로19길 2,33.50453702,126.5419751
금능식당,제주특별자치도 제주시 한림읍 한림로 224,33.38662528,126.2316717
금데기횟집,제주 서귀포시 표선면 표선당포로 19-5,33.32632553,126.8440519
금돈가 제주 애월해안도로 본점,제주 제주시 애월읍 가문동남길 63 1층,33.48429824,126.3911284
금돗 성산흑돼지,제주특별자치도 서귀포시 성산읍 성산등용로 17,33.46520951,126.9325084
금하식당,제주 서귀포시 서호호근로 77,33.2540995,126.5241597
기라네김밥,제주 제주시 정존11길 29,33.48599531,126.4748331
김서방재첩해장국,제주 제주시 원노형6길 27,33.48367879,126.4829539
김영미제첩해장국,제주특별자치도 제주시 구남로8길 4-17,33.49004135,126.5347559
김재훈고사리육개장,제주특별자치도 제주시 구남로4길 8-12,33.48880235,126.5330226
김해횟집,제주 제주시 용담로5길 25,33.51551804,126.5078531
까망돼지 서귀포점,제주특별자치도 서귀포시 일주동로 8524,33.25513672,126.5775117
까망돼지 중문점,제주특별자치도 서귀포시 색달중앙로 21,33.25740662,126.4134118
깡촌흑돼지 함덕본점,제주특별자치도 제주시 조천읍 함덕14길 2,33.54127438,126.6671355
꽁지식당,제주 제주시 고산동산5길 6,33.49562383,126.5338158
꽃가람 제주성산일출봉점,제주특별자치도 서귀포시 성산읍 고성동서로 73,33.45090459,126.9149664
꽃가마,제주특별자치도 제주시 신산로 97,33.505441,126.535911
꽃길국수 공항본점,제주특별자치도 제주시 서해안로 648,33.5161957,126.506126
꽃담수제버거,제주 서귀포시 성산읍 일출로 284-7,33.46297091,126.9360128
꽃밥,제주특별자치도 제주시 애월읍 일주서로 6059,33.451512,126.3085038
나라돈까스,제주 제주시 외도1동 450-6,33.49079493,126.4317628
나원회포차,제주 서귀포시 동문동로 2,33.24966662,126.5675962
난드르바당,제주 서귀포시 하예하동로16번길 11-1,33.23456106,126.3709745
남경미락,제주 서귀포시 안덕면 사계남로 190-7,33.23018935,126.3088992
남원식당,제주 제주시 서광로3길 6,33.50060224,126.5135329
남원흑돼지연탄골목,제주 서귀포시 남원읍 태위로495번길 7,33.2757908,126.7000871
남춘식당,제주특별자치도 제주시 청귤로 12,33.49965544,126.5375111
남호식당,제주 서귀포시 김정문화로 7,33.25252388,126.5054717
낭만팥집,제주 서귀포시 동홍서로96번길 17,33.25742828,126.571408
낭쿰낭쿰 올레시장본점,제주특별자치도 서귀포시 중앙로79번길 4,33.2517318,126.5607513
너븐,제주 서귀포시 칠십리로214번길 26,33.24538882,126.5742971
넉둥베기고사리육개장,제주특별자치도 제주시 서문로 9-1,33.50977059,126.5126309
네거리식당,제주 서귀포시 서문로29번길 20,33.24851576,126.5592881
노도 고등어회,제주특별자치도 제주시 서해안로 364,33.51076596,126.4839166
노라바,제주특별자치도 제주시 애월읍 구엄길 100,33.48279245,126.3763054
노조미,제주 제주시 국기로2길 2-3,33.47952132,126.4902347
노형삼대국수,제주특별자치도 제주시 노형동 3791-6,33.48273648,126.4787613
논짓물식당,제주특별자치도 제주시 성화로9길 10,33.51263016,126.5043812
누바비치,제주 서귀포시 대포로 148-15,33.23757909,126.4368359
누이밥집,제주 서귀포시 중산간서로 695,33.26288282,126.4408282
뉴욕버거 제주노형점,제주특별자치도 제주시 삼무로 26,33.48974608,126.4893052
늘봄흑돼지,제주 제주시 한라대학로 12,33.47947045,126.4728388
늘소담,제주 제주시 삼도2동 1192-12,33.51742185,126.5215115
니모메,제주특별자치도 제주시 일주서로 7335-8,33.49370123,126.4309214
다가미,제주 제주시 도남로 111,33.49045081,126.5286629
다니쉬,제주 제주시 조천읍 함덕16길 56,33.54212706,126.6636841
다다익고 신서귀포점,제주특별자치도 서귀포시 신중로 26-8,33.25469982,126.5077494
